Timestamp,MatCode,Base,Length (m),Print and Dye,Remarks,Stitch and Applique,Remarks,Added expenses,Production cost,Added_to_catalogue,MatMaster,Remarks,
05/07/2023 23:46:33,MoC-10-P1,190.1547619,1,,,200,stitching-and-tailoring,0,390.1547619,1,,,
12/07/2023 11:38:15,ArS-18-P2,68.2142963,1,,,270,stitching-and-tailoring,0,338.2142963,1,,,
13/07/2023 20:07:37,AS-5-P1,286.6666666,2,,,300,stitching-and-tailoring,0,586.6666666,1,,,
13/07/2023 20:12:04,MoS-6-P1,321.1626666,2,,,300,stitching-and-tailoring,0,621.1626666,1,,,
13/07/2023 23:10:12,ArS-15-P1,67.40740741,1,,,270,stitching-and-tailoring,0,337.4074074,1,,,
24/07/2023 11:01:42,ArS-18-P3,68.2142963,1,,,270,stitching-and-tailoring,0,338.2142963,1,,,
24/07/2023 11:37:55,PrC-34-P1,275.4353024,1.7,,,150,stitching-and-tailoring,0,425.4353024,1,,,
24/07/2023 11:55:23,PrC-17-P2,239.1666666,1.5,,,250,stitching-and-tailoring,0,489.1666666,1,,,
24/07/2023 12:17:47,PrC-37-P1,236.4625001,1.5,,,341.6,stitching-and-tailoring,0,578.0625001,1,,,
,H-4-P3,91.57673335,0.5,,,,,,,,PrC-37-P1,shirt-women,
24/07/2023 12:30:27,PrC-37-P2,157.6416667,1,,,241.6,stitching-and-tailoring,0,399.2416667,1,,,
,H-4-P4,91.57673335,0.5,,,,,,,,PrC-37-P2,crop-top,
24/07/2023 12:59:45,KC-6-P1,186.4539,1.5,60,hand-block-printed-face,250,stitching-and-tailoring,0,496.4539,1,,,
24/07/2023 13:11:54,KC-6-P2,248.6052,2,60,hand-block-printed-birds,250,stitching-and-tailoring,0,558.6052,1,,,
24/07/2023 13:17:58,KC-6-P3,217.52955,1.75,60,hand-block-printed-birds,250,stitching-and-tailoring,0,527.52955,1,,,
24/07/2023 13:25:44,KC-6-P4,124.3026,1,60,hand-block-printed-leaves-and-heartbeat,150,stitching-and-tailoring,0,334.3026,1,,,
24/07/2023 14:16:01,KC-5-P1,126.8256,1,,,150,stitching-and-tailoring,0,276.8256,1,,,
24/07/2023 14:27:11,KC-5-P2,190.2384,1.5,,,250,stitching-and-tailoring,0,440.2384,1,,,
24/07/2023 14:33:23,KC-5-P3,190.2384,1.5,,,250,stitching-and-tailoring,0,440.2384,1,,,
24/07/2023 14:48:43,CaC-3-P1,102.8069333,1,,,230,stitchwork-and-tailoring,0,332.8069333,1,,,
24/07/2023 14:55:48,MSl-2-P1,189.547619,1.9,,,250,stitching-and-tailoring,0,439.547619,1,,,
24/07/2023 15:18:10,RC-2-P1,122.9333333,1.2,,,379,stitchwork-and-tailoring,0,501.9333333,1,,,
,PrC-36-P1,78.82083335,0.5,,,,,,,,RC-2-P1,shirt,
24/07/2023 15:27:49,MSl-1-P1,249.4047619,2.5,,,289.5,stitching-and-tailoring,0,538.9047619,1,,,
,PrC-36-P2,39.41041668,0.25,,,,,,,,MSl-1-P1,kurti,
24/07/2023 15:52:44,KC-6-P5,217.52955,1.75,,,300,stitchwork-and-tailoring,0,517.52955,1,,,
24/07/2023 16:09:11,PrC-33-P2,262.3294121,1.65,,,250,stitching-and-tailoring,0,512.3294121,1,,,
24/07/2023 17:05:49,PrC-18-P1,193.452381,1.5,,,250,stitching-and-tailoring,0,443.452381,1,,,
24/07/2023 16:46:43,SC-22-P1,240.6189577,1.95,,,234.5,stitching-and-tailoring,0,475.1189577,1,,,
,PrC-33-P3,79.49376125,0.5,,,,,,,,SC-22-P1,kurti,
24/07/2023 16:55:51,SC-22-P2,240.6189577,1.95,,,273.85,stitching-and-tailoring,0,514.4689577,1,,,
,PrC-33-P4,23.84812838,0.15,,,,,,,,SC-22-P2,shirt,
24/07/2023 17:11:36,AS-7-P1,263.6666666,2,,,250,stitching-and-tailoring,0,513.6666666,1,,,
06/08/2023 18:30:21,AS-7-P2,131.8333333,1,,,180,stitching-and-tailoring,0.4761904762,312.3095238,1,,,
24/07/2023 17:23:49,PrC-41-P1,363.452381,2.5,,,125,stitching-and-tailoring,0,488.452381,1,,,
24/07/2023 17:25:49,PrC-42-P1,276.4047618,1.95,,,125,stitching-and-tailoring,0,401.4047618,1,,,
24/07/2023 18:43:57,PrC-2-P1,247.6515152,1.5,,,458,stitching-and-tailoring,0,705.6515152,1,,,
,PrC-3-P1,258.0833333,1.45,,,,,,,,PrC-2-P1,skirt,
15/08/2023 18:11:08,SC-22-P3,117.2246204,0.95,,,150,stitching-and-tailoring,0,267.2246204,1,,,
24/07/2023 21:21:59,AS-8-P1,294.5416667,2.25,,,289.5,stitching-and-tailoring,0,584.0416667,1,,,
,PrC-36-P3,39.41041668,0.25,,,,,,,,AS-8-P1,kurti,
24/07/2023 21:42:07,Ti-6-P1,247.1547619,1,,,320,stitching-and-tailoring,0,567.1547619,1,,,
24/07/2023 22:05:04,Ti-4-P1,1063.2958,5.5,,,350,stitching-and-tailoring,0,1413.2958,1,,,
24/07/2023 23:01:44,Ba-1-P1,287.452381,1,,,150,stitching-and-tailoring,0,437.452381,1,,,
24/07/2023 23:21:09,AS-10-P1,266.047619,2,,,250,stitching-and-tailoring,0,516.047619,1,,,
24/07/2023 23:27:05,PrC-34-P2,348.3446471,2.15,,,150,stitching-and-tailoring,0,498.3446471,1,,,
24/07/2023 23:27:45,PrC-34-P3,324.0415322,2,,,150,stitching-and-tailoring,0,474.0415322,1,,,
24/07/2023 23:51:46,PrC-49-P1,356,2,,,150,stitching-and-tailoring,0,506,1,,,
24/07/2023 23:51:58,PrC-49-P2,356,2,,,150,stitching-and-tailoring,0,506,1,,,
24/07/2023 23:52:21,PrC-49-P3,267,1.5,,,130,stitching-and-tailoring,0,397,1,,,
25/07/2023 00:12:51,AS-6-P1,179.1666666,1.25,,,361.25,stitching-and-tailoring,0,540.4166666,1,,,
,PrC-19-P1,160.8796296,1.25,,,,,,,,AS-6-P1,kurti,
25/07/2023 00:21:19,CaC-5-P1,204.88416,2,,,150,stitching-and-tailoring,0,354.88416,1,,,
25/07/2023 00:31:11,CaC-5-P2,204.88416,2,,,225.5,stitching-and-tailoring,0,430.38416,1,,,
,KK-1-P1,75.26787035,0.5,,,,,,,,CaC-5-P2,kurti,
25/07/2023 13:07:08,H-4-P5,366.3069334,2,100,hand-block-print,175,stitching-and-tailoring,0,641.3069334,1,,,
25/07/2023 13:07:20,H-4-P6,457.8836668,2.5,100,hand-block-print,175,stitching-and-tailoring,0,732.8836668,1,H-4-P5,sharara,
25/07/2023 13:12:42,O-1-P1,369.5173333,2.5,,,200,stitching-and-tailoring,0,569.5173333,1,H-4-P5,dupatta,
25/07/2023 15:24:07,PrC-50-P1,324,1.8,,,150,stitching-and-tailoring,0,474,1,,,
25/07/2023 15:25:21,PrC-50-P2,216,1.2,,,150,stitching-and-tailoring,0,366,1,PrC-50-P1,hot-pant,
25/07/2023 15:50:09,CaC-6-P1,153.66312,1.5,90,hand-block-print,150,stitching-and-tailoring,0,393.66312,1,,,
25/07/2023 15:50:24,CaC-6-P2,256.1052,2.5,90,hand-block-print,150,stitching-and-tailoring,0,496.1052,1,CaC-6-P1,"CaC-6-P1,kurti",
10/08/2023 21:07:56,CaC-6-P3,256.1052,2.5,,,150,stitching-and-tailoring,0,406.1052,1,,,
25/07/2023 15:42:02,PrC-51-P1,324,1.8,,,150,stitching-and-tailoring,0,474,1,,,
25/07/2023 16:01:05,PrC-51-P2,216,1.2,,,150,stitching-and-tailoring,0,366,1,PrC-51-P1,hot-pant,
25/07/2023 16:39:55,MoC-3-P2,240.7377067,1.6,,,350,stitching-and-tailoring,0,590.7377067,1,,,
25/07/2023 17:08:31,BT-2-P1,550,5.5,152,hand-block-print-king-queen-face-in-anchal,,,0,702,1,,,
25/07/2023 17:10:43,BT-2-P2,100,1,28,leaf-print,230,stitching-and-tailoring,0,358,1,BT-2-P1,blouse,
